City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,saint-honore,2.8197,-60.6733,87.78,51.0,40.0,10.36,BR,1675893198.0
279,saint-honore,41.3118,16.2908,45.81,51.0,100.0,11.1,IT,1675893407.0
280,saint-honore,20.8947,-156.47,78.84,53.0,20.0,20.71,US,1675892655.0
281,saint-honore,,,,,,,,
282,saint-honore,14.9215,-23.5087,70.34,68.0,75.0,12.66,CV,1675893409.0
283,saint-honore,-29.15,-59.65,87.51,39.0,51.0,14.29,AR,1675893221.0
284,saint-honore,28.017,-97.5169,64.35,69.0,100.0,14.83,US,1675892929.0
285,saint-honore,71.0357,27.8492,40.95,65.0,0.0,46.04,NO,1675892916.0
286,saint-honore,40.1629,-8.3327,53.82,76.0,33.0,6.33,PT,1675892981.0
287,saint-honore,62.55,155.55,-41.03,100.0,79.0,3.51,RU,1675893114.0
288,saint-honore,13.6017,26.6876,58.78,16.0,36.0,12.62,SD,1675893410.0
289,saint-honore,21.5167,-105.2667,75.25,52.0,4.0,6.2,MX,1675893411.0
290,saint-honore,-38.7333,-72.6,73.17,40.0,0.0,11.21,CL,1675893411.0
291,saint-honore,4.095,30.6779,73.42,26.0,9.0,1.63,SS,1675893412.0
292,saint-honore,40.125,116.6453,31.95,43.0,0.0,4.47,CN,1675893412.0
293,saint-honore,-33.8667,121.9,66.15,71.0,98.0,12.95,AU,1675892814.0
294,saint-honore,-20.7333,139.5,76.77,100.0,22.0,5.75,AU,1675892860.0
295,saint-honore,-34.5833,150.8552,68.18,91.0,99.0,4.0,AU,1675892965.0
296,saint-honore,68.75,161.3,-27.51,98.0,100.0,8.12,RU,1675892944.0
297,saint-honore,69.4865,88.3972,-9.8,96.0,100.0,9.17,RU,1675892905.0
298,saint-honore,24.5557,-81.7826,78.8,69.0,0.0,19.57,US,1675893178.0
299,saint-honore,12.7797,101.6483,81.01,100.0,17.0,3.96,TH,1675893414.0
300,saint-honore,-34.7333,135.8667,69.08,70.0,0.0,11.5,AU,1675892713.0
